-BEGIN HEADER-,,,,,,,,,,,Denver
2019,9,19,5.52,7.96,6.32,1.09,0.67,1.77,0.34,14.02,101.94
2019,9,20,5.94,8.83,6.4,1.11,0.73,1.82,0.36,14.7,107.55
2019,9,21,5.78,8.04,6.4,1.12,0.72,1.7,0.34,14.18,103.46
2019,9,22,6.38,10.93,6.35,0.51,0.8,1.7,0.34,15.28,113.64
2019,9,23,4.03,1.73,6.22,2.99,0.51,1.42,0.27,10.82,74.91
2019,9,24,6.15,10.28,6.15,0.64,0.78,1.77,0.35,14.77,110.21
2019,9,25,6.05,10.25,6.05,0.56,0.77,1.73,0.34,14.77,109.67
2019,9,26,5.42,6.47,5.98,2.02,0.7,1.62,0.32,13.46,98.8
2019,9,27,4.31,4.86,5.84,1.72,0.56,1.33,0.26,11.15,80.04
2019,9,28,5.45,8.04,5.89,1.05,0.72,1.52,0.3,13.58,99.08
2019,9,29,5.84,10.09,5.91,0.64,0.77,1.54,0.3,14.16,105.1
2019,9,30,5.87,10.43,5.84,0.52,0.79,1.59,0.32,14.09,105.48
2019,10,1,4.73,6.71,5.69,1.11,0.64,1.38,0.27,11.33,84.07
2019,10,2,5.61,9.74,5.91,0.74,0.77,1.62,0.32,13.18,98.22
2019,10,3,5.78,10.4,5.82,0.56,0.8,1.64,0.33,13.77,102.23
2019,10,4,5.14,8.53,5.55,1,0.71,1.47,0.29,12.58,93.16
2019,10,5,5.55,9.43,5.67,0.91,0.78,1.42,0.28,12.98,97.23
2019,10,6,5.7,10.24,5.68,0.57,0.8,1.38,0.28,13.19,98.9
2019,10,7,5.55,10.24,5.61,0.58,0.79,-999,0.27,12.98,97.07
2019,10,8,5.41,9.38,5.47,0.69,0.78,1.29,0.26,12.8,95.65
2019,10,9,4.74,6.47,5.33,1.38,0.69,1.15,0.23,11.54,84.83
2019,10,10,2.03,1.12,5.36,1.54,0.3,0.59,0.12,5.77,38.62
2019,10,11,5.26,9.36,5.57,0.83,0.78,1.02,0.2,12.09,89.89
2019,10,12,5.36,10.2,5.4,0.62,0.8,1.1,0.22,12.41,92.95
2019,10,13,5.34,10.35,5.34,0.55,0.81,1.09,0.22,12.27,92.52
2019,10,14,5,8.81,5.09,0.75,0.77,1.08,0.22,11.75,88.23
2019,10,15,5.05,9.37,5.09,0.68,0.78,1.07,0.22,11.7,88.84
2019,10,16,4.11,4,5.01,2.29,0.64,1.04,0.2,10.01,73.55
2019,10,17,3.72,2.08,4.99,2.65,0.59,1.04,0.2,9.4,67.19
2019,10,18,3.05,3.46,4.81,1.63,0.48,0.83,0.16,7.77,56.05
2019,10,19,4.76,8.68,4.91,0.78,0.77,1.05,0.21,10.98,83.15
2019,10,20,3.21,3.45,4.94,1.71,0.52,0.76,0.15,8.03,57.77
2019,10,21,3.62,4.94,4.8,1.4,0.59,0.73,0.15,8.69,64.14
2019,10,22,4.01,7.3,4.71,0.75,0.66,0.84,0.17,9.59,71.75
2019,10,23,3.38,4.96,4.64,1.14,0.57,0.8,0.16,8.23,60.31
2019,10,24,3.48,5.61,4.69,0.92,0.59,0.7,0.14,8.34,61.63
2019,10,25,4.53,9.15,4.54,0.56,0.77,0.93,0.19,10.73,80.98
2019,10,26,4.36,8.3,4.5,0.79,0.76,0.93,0.19,10.25,77.38
2019,10,27,1.57,1,4.29,1.16,0.27,0.45,0.09,4.44,29.72
2019,10,28,3.77,5.74,4.5,1.12,0.66,0.87,0.17,9.24,66.7
2019,10,29,1.42,1.14,4.41,0.9,0.25,0.35,0.07,3.95,26.66
2019,10,30,3.84,5.85,4.52,0.9,0.7,0.71,0.14,9.31,66.57
2019,10,31,4.05,8.11,4.32,0.63,0.74,0.68,0.13,9.63,71.8
2019,11,1,4,7.07,4.25,0.93,0.73,0.8,0.16,9.33,69.62
2019,11,2,4.01,7.79,4.21,0.85,0.75,0.79,0.16,9.39,70.64
2019,11,3,3.98,7.5,4.17,0.96,0.75,0.9,0.18,9.35,70.4
2019,11,4,3.58,5.62,4.01,1.28,0.68,0.77,0.16,8.51,63.88
2019,11,5,3.81,7.33,3.97,0.92,0.73,0.7,0.14,8.76,67.38
2019,11,6,3.57,6.84,3.96,0.78,0.7,0.65,0.13,8.2,62.77
2019,11,7,3.84,8.13,3.97,0.61,0.76,0.66,0.13,8.55,66.56
2019,11,8,3.86,8.32,3.91,0.61,0.77,0.7,0.14,8.7,67.89
2019,11,9,3.76,7.92,3.83,0.67,0.76,0.7,0.14,8.45,66.09
2019,11,10,3.5,6.24,3.74,0.98,0.71,0.65,0.13,7.97,61.57
2019,11,11,3.17,5.93,3.82,0.95,0.65,0.57,0.12,7.17,54.96
2019,11,12,3.71,8.12,3.84,0.67,0.77,0.57,0.12,8.2,63.97
2019,11,13,3.35,6.16,3.65,1.07,0.7,0.55,0.11,7.56,58.84
2019,11,14,3.54,7.16,3.69,0.72,0.75,0.52,0.1,7.77,60.95
2019,11,15,3,4.07,3.52,1.42,0.64,0.47,0.09,7.02,53.39
2019,11,16,2.65,4.18,3.44,0.99,0.57,0.41,0.08,6.17,47.04
2019,11,17,3.19,5.98,3.49,1.02,0.7,0.48,0.09,7.3,56.79
2019,11,18,3.38,7.03,3.51,0.68,0.74,0.55,0.11,7.55,59.23
2019,11,19,2.63,3.35,3.42,1.34,0.58,0.48,0.09,6.23,46.52
2019,11,20,0.96,0.56,3.16,0.76,0.21,0.21,0.04,2.79,18.7
2019,11,21,0.66,0.43,3.28,0.52,0.15,0.13,0.02,1.98,12.88
2019,11,22,1.5,2.14,3.25,0.75,0.34,0.23,0.05,3.75,27.28
2019,11,23,3.27,7.87,3.41,0.44,0.75,0.41,0.08,7.24,56.56
2019,11,24,2.91,5.58,3.36,0.93,0.67,0.43,0.09,6.65,50.81
2019,11,25,1.87,1.96,3.19,1.25,0.44,0.32,0.06,4.7,33.88
2019,11,26,1.26,0.54,3.34,1.07,0.3,0.21,0.04,3.53,23.59
2019,11,27,2.24,2.28,3.19,1.39,0.53,0.28,0.05,5.52,39.93
2019,11,28,2.77,5.18,3.19,0.97,0.66,0.34,0.07,6.5,49.09
2019,11,29,2.48,3.01,3.13,1.28,0.59,0.32,0.06,6.04,44.59
2019,11,30,1.41,1.65,3.2,0.92,0.34,0.16,0.03,3.59,25.41
2019,12,1,3.08,6.97,3.21,0.68,0.75,0.31,0.05,6.8,52.8
2019,12,2,2.98,6.9,3.06,0.62,0.73,0.35,0.07,6.62,52.06
2019,12,3,2.87,6.86,3.12,0.6,0.71,0.34,0.07,6.4,49.99
2019,12,4,2.22,3.57,3.03,1.08,0.55,0.3,0.06,5.33,39.96
2019,12,5,1.06,0.52,2.97,0.89,0.27,0.19,0.04,3.03,20.35
2019,12,6,2.85,6.97,3.02,0.53,0.71,0.34,0.07,6.26,49.74
2019,12,7,2.57,4.34,2.99,1.08,0.65,0.31,0.06,5.79,45.02
2019,12,8,2.09,2.61,2.94,1.24,0.53,0.26,0.05,5.04,37.64
2019,12,9,2.29,4.4,2.98,0.85,0.59,0.25,0.05,5.14,39.59
2019,12,10,2.8,6.34,3.02,0.8,0.72,0.29,0.05,6.09,48.12
2019,12,11,2.48,4.33,2.99,1.16,0.63,0.27,0.05,5.59,43.15
2019,12,12,2.29,3.69,2.94,0.95,0.59,0.27,0.05,5.34,40.61
2019,12,13,2.09,3.36,2.98,0.95,0.54,0.24,0.05,4.87,36.98
2019,12,14,1.56,1.5,2.96,1.1,0.41,0.22,0.05,3.95,28.3
2019,12,15,1.5,0.62,2.96,1.3,0.39,0.2,0.04,3.98,27.45
2019,12,16,2.35,3.97,3.01,1,0.61,0.24,0.05,5.27,40.09
2019,12,17,2.81,6.66,2.99,0.71,0.73,0.25,0.05,6.12,47.9
2019,12,18,2.71,5.1,3,1.04,0.71,0.26,0.05,5.92,46.2
2019,12,19,2.3,2.11,2.92,1.52,0.6,0.26,0.05,5.39,40.38
2019,12,20,2.86,6.83,2.92,0.55,0.75,0.28,0.05,6.15,49.12
2019,12,21,2.62,4.63,2.88,1.03,0.69,0.29,0.05,5.73,44.86
2019,12,22,2.18,1.47,2.75,1.64,0.57,0.26,0.05,5.03,38.03
2019,12,23,2.09,1.18,2.89,1.66,0.55,0.34,0.07,5.12,37.36
2019,12,24,2.62,4.69,2.84,0.97,0.69,0.35,0.07,6.09,46.73
2019,12,25,2.4,4.34,2.92,0.96,0.62,0.29,0.05,5.55,42.25
2019,12,26,2.88,7.06,2.95,0.58,0.75,0.27,0.05,6.1,48.84
2019,12,27,1.98,2.26,2.75,1.28,0.52,0.21,0.04,4.71,35.2
2019,12,28,1.31,0.8,2.97,1.04,0.34,0.16,0.03,3.51,24.23
2019,12,29,2.74,5.71,3,0.73,0.71,0.26,0.05,5.98,46.38
2019,12,30,2.96,7.21,3.04,0.54,0.77,0.27,0.05,6.31,50.05
2019,12,31,2.99,7.48,3.08,0.51,0.77,0.27,0.05,6.31,50.16
2020,1,1,2.16,4.01,2.96,0.96,0.55,0.24,0.05,5.02,38.58
2020,1,2,2.78,5.23,3.05,0.95,0.7,0.28,0.05,6.15,47.58
2020,1,3,2.69,5.68,3,0.77,0.68,0.27,0.05,5.97,46.69
2020,1,4,2.68,4,2.98,1.34,0.67,0.27,0.05,5.97,46.78
2020,1,5,2.83,5.88,3.04,0.94,0.71,0.31,0.06,6.14,48.22
2020,1,6,2.9,6.63,3.14,0.63,0.73,0.3,0.06,6.21,49.06
2020,1,7,3.12,8.24,3.13,0.46,0.77,0.32,0.06,6.67,53.58
2020,1,8,2.97,6.92,3.11,0.66,0.73,0.32,0.06,6.48,51.38
2020,1,9,2.8,4.93,3.1,1.06,0.69,0.29,0.05,6.15,47.76
2020,1,10,2.61,4.71,3.14,0.99,0.63,0.24,0.05,5.65,43.81
2020,1,11,2.74,5.29,3.16,0.85,0.66,0.27,0.05,6.09,47.38
2020,1,12,2.9,5.99,3.27,0.86,0.7,0.27,0.05,6.3,49.02
2020,1,13,2.57,4.77,3.24,1.03,0.61,0.24,0.05,5.87,44.59
2020,1,14,3.23,7.83,3.25,0.49,0.77,0.33,0.06,6.97,55.18
2020,1,15,3.31,8.02,3.3,0.5,0.77,0.35,0.06,7.08,55.91
2020,1,16,2.28,1.15,3.23,1.89,0.53,0.3,0.06,5.66,40.94
2020,1,17,2.35,3.8,3.3,1,0.55,0.27,0.05,5.57,41.89
2020,1,18,2.5,3.08,3.35,1.41,0.57,0.33,0.06,6.02,44.44
2020,1,19,3.17,6.88,3.39,0.71,0.72,0.39,0.08,6.99,54.38
2020,1,20,3.04,3.74,3.48,1.48,0.68,0.41,0.09,6.98,52.54
2020,1,21,1.64,0.67,3.32,1.39,0.37,0.3,0.06,4.53,30.97
2020,1,22,2.22,2.23,3.48,1.38,0.49,0.3,0.06,5.45,39.61
2020,1,23,2.55,3.54,3.54,1.24,0.55,0.32,0.06,6.08,45.1
2020,1,24,3.1,4.83,3.57,1.21,0.67,0.41,0.08,7.28,54.59
2020,1,25,3.27,6.36,3.6,0.76,0.7,0.4,0.08,7.44,57.14
2020,1,26,2.81,3.47,3.62,1.57,0.59,0.38,0.08,6.73,49.73
2020,1,27,1.59,0.63,3.54,1.34,0.34,0.3,0.06,4.49,30.21
2020,1,28,3.61,7.72,3.79,0.62,0.75,0.45,0.09,8.02,61.65
2020,1,29,2.34,2.14,3.69,1.47,0.48,0.34,0.07,5.9,42.4
2020,1,30,2.12,1.75,3.79,1.39,0.43,0.3,0.06,5.43,38.43
2020,1,31,2.77,1.89,3.88,2.13,0.55,0.39,0.08,6.86,49.45
2020,2,1,3.31,2.74,3.86,2.13,0.66,0.45,0.09,7.88,58.32
2020,2,2,3.73,7.43,3.9,0.78,0.73,0.5,0.09,8.38,64.69
2020,2,3,1.63,1.04,3.85,1.22,0.32,0.29,0.05,4.39,30.26
2020,2,4,2.63,3.17,4.19,1.26,0.51,0.39,0.08,6.47,46.67
2020,2,5,3.87,6.43,4.23,1.16,0.74,0.48,0.09,8.94,66.03
2020,2,6,2.7,1.67,4.16,1.95,0.51,0.4,0.08,6.91,49.2
2020,2,7,1.16,0.5,4.19,0.95,0.22,0.24,0.05,3.36,22.84
2020,2,8,4.13,8.38,4.29,0.68,0.77,0.67,0.13,9.75,72.45
2020,2,9,2.32,1.15,4.24,1.83,0.42,0.46,0.09,6.17,43.08
2020,2,10,3.03,2.26,4.28,2.1,0.55,0.52,0.1,7.55,54.34
2020,2,11,4.42,8.85,4.54,0.62,0.79,0.66,0.12,10.2,75.62
2020,2,12,2.94,3.29,4.52,1.56,0.52,0.48,0.09,7.18,52.19
2020,2,13,3.64,4.59,4.48,1.68,0.64,0.52,0.1,8.57,63.39
2020,2,14,4.56,9.11,4.58,0.64,0.79,0.7,0.13,10.75,79.8
2020,2,15,4.32,6.94,4.55,1.2,0.74,0.76,0.15,10.16,75.4
2020,2,16,3.6,2.55,4.64,2.43,0.61,0.69,0.14,9.24,65.81
2020,2,17,4.24,6.12,4.71,1.5,0.71,0.76,0.15,10.05,73.91
2020,2,18,4.57,6.43,4.86,1.47,0.76,0.77,0.16,10.67,78.29
2020,2,19,3.74,3.59,4.75,2.03,0.62,0.73,0.15,9.19,66.12
2020,2,20,4.98,9.36,5.09,0.73,0.81,0.92,0.19,11.53,84.78
2020,2,21,4.92,9.15,4.99,0.81,0.79,1.01,0.2,11.62,86.06
2020,2,22,4.62,5.39,4.94,1.9,0.73,1.07,0.22,11.44,82.37
2020,2,23,2.51,1.06,4.84,2.06,0.4,0.73,0.15,7.17,49.41
2020,2,24,4.59,5.02,5.25,2.12,0.72,1.02,0.2,11.34,80.55
2020,2,25,3.67,2.9,5.4,2.2,0.57,0.73,0.15,9.73,66.92
2020,2,26,4.88,7.3,5.33,1.45,0.74,0.89,0.18,12.09,86.16
2020,2,27,5.1,7.51,5.38,1.45,0.77,1.05,0.21,12.44,89.45
2020,2,28,5.32,9.19,5.42,0.96,0.8,1.06,0.21,12.8,93.29
2020,2,29,4.74,4.59,5.36,2.37,0.7,1.08,0.22,11.77,84.29
2020,3,1,3.58,2.08,5.34,2.61,0.52,0.92,0.19,9.34,65.84
2020,3,2,5.04,5.93,5.57,1.97,0.73,1.04,0.21,12.48,88.91
2020,3,3,5.57,9.43,5.65,1.12,0.8,1.18,0.23,13.49,97.88
2020,3,4,5.63,9.34,5.74,1.16,0.8,1.21,0.24,13.52,98.16
2020,3,5,5.74,10.31,5.72,0.67,0.8,1.2,0.24,13.7,100.69
2020,3,6,5.18,4.58,5.74,2.73,0.72,1.24,0.25,12.84,92
2020,3,7,5.51,7,5.72,1.63,0.76,1.33,0.27,13.58,97.98
2020,3,8,5.36,6.51,5.78,1.87,0.73,1.38,0.27,13.36,96.24
2020,3,9,5.63,7.07,5.9,1.71,0.77,1.32,0.27,13.84,99.35
2020,3,10,5.35,5.23,5.9,2.54,0.72,1.27,0.26,13.73,97.17
2020,3,11,5.76,8.79,5.96,1.23,0.77,1.23,0.25,14.29,103.06
2020,3,12,4.86,2.82,5.89,3.33,0.64,1.11,0.22,12.26,87.71
2020,3,13,4.46,2.67,6.05,2.93,0.59,1.27,0.25,12.24,83.79
2020,3,14,5.66,6.57,6.17,2.09,0.73,1.52,0.3,14.38,101.74
2020,3,15,5.63,5.87,6.21,2.41,0.73,1.52,0.3,14.22,101.15
2020,3,16,6.05,7.13,6.33,2.19,0.77,1.45,0.29,14.75,106.4
2020,3,17,5.62,4.4,6.32,2.95,0.71,1.48,0.3,14.35,101.03
2020,3,18,5.67,5.41,6.39,2.83,0.71,1.41,0.28,14.3,101.73
2020,3,19,2.03,0.74,6.43,1.61,0.25,0.62,0.12,6.38,41.75
2020,3,20,5.18,3.46,6.55,3.21,0.64,1.41,0.28,13.9,96.39
2020,3,21,5.28,5.43,6.55,2.35,0.64,1.27,0.25,13.83,96.59
2020,3,22,6.11,6.02,6.68,2.62,0.74,1.53,0.3,15.58,109.52
2020,3,23,5.02,3.77,6.65,3.04,0.6,1.38,0.27,13.27,92.47
2020,3,24,6.69,9.9,6.83,1.19,0.8,1.61,0.33,16.78,119.12
2020,3,25,6.38,6.07,6.89,2.52,0.75,1.9,0.38,16.27,114.41
2020,3,26,6.7,8.68,6.85,1.51,0.79,1.99,0.4,16.79,119.45
2020,3,27,4.47,2.67,6.95,3.01,0.52,1.45,0.28,12.07,83.33
2020,3,28,6.86,7.95,7.18,2.14,0.79,1.67,0.34,17.06,119.99
2020,3,29,5.37,2.87,7.08,3.78,0.62,1.39,0.27,14.14,98.36
2020,3,30,6.06,4.19,7.02,3.55,0.69,1.54,0.3,15.77,110.64
2020,3,31,6.81,8.49,7.05,1.78,0.77,1.57,0.31,17.02,121.44
2020,4,1,5.61,2.86,7.04,3.79,0.63,1.48,0.3,14.56,102.52
2020,4,2,4.08,2.08,7.04,2.86,0.45,1.17,0.23,11.15,76.88
2020,4,3,4.99,2.93,7.36,3.17,0.55,1.3,0.26,13.12,90.55
2020,4,4,5.69,4.63,7.35,3.3,0.62,1.55,0.3,14.77,104.09
2020,4,5,6.31,6.27,7.35,2.83,0.69,1.68,0.34,16.12,114.57
2020,4,6,7.25,9.49,7.52,1.61,0.79,2.03,0.41,17.91,129.4
2020,4,7,7.3,9.89,7.58,1.61,0.79,1.95,0.39,17.98,129.85
2020,4,8,6.93,8.77,7.52,2,0.74,1.8,0.36,17.12,124.33
2020,4,9,6.64,6.55,7.28,2.39,0.7,1.8,0.36,16.59,120.04
2020,4,10,6.51,5.47,7.53,3.3,0.69,1.77,0.35,16.49,117.95
2020,4,11,7.18,7.44,7.68,2.46,0.76,1.88,0.38,17.7,127.48
2020,4,12,4.41,1.79,7.88,3.23,0.46,1.39,0.27,12.3,82.89
2020,4,13,4.31,1.72,7.99,3.27,0.45,1.27,0.25,11.77,80.25
2020,4,14,7.03,6.4,8.14,3.04,0.73,1.65,0.33,17.66,124.02
2020,4,15,6.05,4.89,7.85,3.14,0.62,1.48,0.29,15.55,109.27
2020,4,16,3.43,1.42,7.78,2.57,0.35,1.04,0.2,9.95,67.49
2020,4,17,6.6,9.04,8.21,1.27,0.67,1.59,0.31,16.48,117.28
2020,4,18,4.25,2.11,7.67,3.18,0.43,1.21,0.23,11.66,81.07
2020,4,19,6.6,4.46,7.95,3.82,0.66,1.86,0.37,16.92,119.51
2020,4,20,5.8,4.38,7.96,3.26,0.58,1.68,0.34,15.16,106.5
2020,4,21,5.54,3.44,7.86,3.24,0.55,1.67,0.33,14.78,103.49
2020,4,22,5.68,3.71,8.02,3.47,0.56,1.8,0.36,15.11,105.46
2020,4,23,5.13,2.8,8.15,3.35,0.51,1.73,0.34,14.09,96.42
2020,4,24,5.86,4.83,8.25,2.86,0.58,1.83,0.37,15.55,108.04
2020,4,25,6.74,6.6,8.25,2.42,0.66,1.98,0.4,17.23,121.88
2020,4,26,5.59,2.15,8.04,4.22,0.54,1.78,0.35,14.77,103.45
2020,4,27,7.58,8.61,8.31,2.09,0.73,2.2,0.44,18.89,135.72
2020,4,28,7.6,7.6,8.33,2.91,0.73,2.3,0.46,19.09,137.2
2020,4,29,8.06,10.92,8.44,1.28,0.77,2.45,0.48,20.22,145.52
2020,4,30,4.94,2.06,8.26,3.68,0.47,1.79,0.35,13.74,94.31
2020,5,1,6.41,5.34,8.29,3.37,0.61,2.19,0.44,16.71,118.44
2020,5,2,5.19,3.17,8.18,3.11,0.49,1.83,0.37,13.99,97.49
2020,5,3,7.72,7.94,8.44,2.37,0.73,2.45,0.48,19.49,139.76
2020,5,4,7.41,8.55,8.6,1.95,0.7,2.45,0.48,18.83,134.29
2020,5,5,8.39,10.37,8.92,1.88,0.78,2.52,0.5,20.61,147.77
2020,5,6,7.33,6.1,8.64,3.46,0.68,2.45,0.49,18.87,133.77
2020,5,7,8.69,11.49,8.94,1.49,0.8,2.83,0.55,21.33,153.58
2020,5,8,8.01,7.97,8.91,2.21,0.74,2.5,0.5,20.35,143.76
2020,5,9,7.89,8.58,8.89,2.2,0.73,2.37,0.47,19.84,140.87
2020,5,10,7.84,7.47,8.73,2.87,0.72,2.39,0.48,19.86,141.57
2020,5,11,3.78,1.41,8.19,2.82,0.34,1.34,0.27,10.78,74.25
2020,5,12,7.05,4.61,8.72,3.87,0.64,2.24,0.45,18.23,128.71
2020,5,13,7.74,6.34,8.94,3.23,0.7,2.48,0.49,19.87,140.12
2020,5,14,5.47,2.65,8.72,3.72,0.5,1.88,0.38,15.09,103.83
2020,5,15,5.27,2.57,8.71,3.63,0.48,1.82,0.37,14.7,100.63
2020,5,16,7.21,5.53,8.75,3.09,0.65,2.29,0.45,18.84,132.2
2020,5,17,7.45,5.99,8.76,3.21,0.67,2.52,0.5,19.62,138.18
2020,5,18,8.44,8.54,9.02,2.4,0.76,2.85,0.56,21.58,153.63
2020,5,19,7.32,7.38,8.92,2.64,0.66,2.63,0.52,19.1,134.92
2020,5,20,8.86,10.81,9.18,1.9,0.79,3.05,0.59,22.16,159.02
2020,5,21,8.27,9.11,9.19,2.01,0.73,2.67,0.53,20.79,147.99
2020,5,22,8.73,10.08,9.31,1.81,0.77,2.65,0.52,21.79,155.23
2020,5,23,6.55,4.61,9.14,3.37,0.58,2.14,0.43,17.17,120
2020,5,24,2.06,0.76,8.85,1.5,0.18,0.8,0.16,6.59,43.4
2020,5,25,6.82,5.73,9.25,3.21,0.6,2.15,0.43,18,125.18
2020,5,26,8.21,9.52,9.11,1.91,0.73,2.48,0.49,21.22,150.61
2020,5,27,6.31,5.33,8.92,3.2,0.55,2.18,0.44,17.21,119.92
2020,5,28,7.28,6.24,8.91,3.24,0.64,2.42,0.48,19.16,136.03
2020,5,29,6.82,6.39,8.95,2.7,0.6,2.41,0.48,18.12,128.16
2020,5,30,5.66,5.06,8.84,2.43,0.49,2.12,0.42,15.52,108.75
2020,5,31,5.98,4.99,8.76,2.83,0.52,2.18,0.43,16.25,114.97
2020,6,1,6.15,4.79,8.75,2.93,0.54,2.37,0.47,16.7,117.3
2020,6,2,5.85,2.98,8.82,3.82,0.51,2.3,0.45,16.04,111.73
2020,6,3,7.02,6.36,8.99,2.86,0.61,2.67,0.52,18.62,131.7
2020,6,4,6.37,6.06,8.86,2.98,0.55,2.34,0.46,17.02,121.31
2020,6,5,6.43,6.13,9.01,2.53,0.55,2.55,0.5,17.45,122.16
2020,6,6,3.14,2.14,8.69,1.96,0.27,1.34,0.27,9.29,63.24
2020,6,7,8.67,11.05,9.35,1.68,0.75,2.98,0.59,22.36,158.71
2020,6,8,8.06,9.28,9.32,1.94,0.7,2.73,0.54,20.68,146.79
2020,6,9,6.81,6.6,9.37,2.39,0.59,2.42,0.48,18.32,127.02
2020,6,10,8.21,9.32,9.38,1.96,0.71,2.88,0.57,21.3,150.07
2020,6,11,8.24,9.79,9.33,1.92,0.71,3.02,0.59,21.27,150.93
2020,6,12,8.05,9.12,9.24,2.12,0.7,2.88,0.56,20.87,148.59
2020,6,13,5.9,4.05,8.93,3.21,0.51,2.34,0.46,16.36,113.53
2020,6,14,8.31,9.1,9.19,2.4,0.72,3.09,0.6,21.59,153.64
2020,6,15,7.75,5.99,9.2,3.16,0.67,2.89,0.56,20.34,142.98
2020,6,16,7.85,6.87,9.22,3.36,0.68,2.69,0.53,20.44,144.84
2020,6,17,8.79,10.52,9.18,1.57,0.76,2.89,0.57,22.12,159.57
2020,6,18,5.71,4.67,8.86,2.4,0.49,2.08,0.41,15.36,107.77
2020,6,19,3.33,1.43,8.89,2.43,0.29,1.2,0.24,9.77,66.12
2020,6,20,8.59,8.94,9.35,2.09,0.74,2.72,0.54,21.96,155.88
2020,6,21,5.26,2.62,8.95,3.35,0.45,1.93,0.38,14.8,101.27
2020,6,22,7.44,7.25,8.99,2.83,0.64,2.48,0.49,19.43,138.99
2020,6,23,6.97,6.67,8.96,2.43,0.6,2.5,0.49,18.44,130.44
2020,6,24,6.81,6.19,9.11,2.75,0.59,2.49,0.49,18.17,127.85
2020,6,25,5.6,3.6,8.85,3.43,0.48,1.96,0.39,15.18,107.03
2020,6,26,6.1,5.74,8.86,2.49,0.53,2.2,0.44,16.38,116.05
2020,6,27,7.81,8.1,9,2.22,0.67,2.68,0.53,20.56,146.15
2020,6,28,5.36,3.1,8.96,3.46,0.46,1.93,0.39,14.8,102.66
2020,6,29,6.25,2.52,9.05,4.35,0.54,2.43,0.48,17.01,117.81
2020,6,30,8.45,9.62,9.31,1.8,0.73,2.98,0.59,21.47,153.16
2020,7,1,8.68,10.3,9.29,1.43,0.75,2.81,0.55,22.01,157.62
2020,7,2,7.58,8.13,9.08,2.24,0.66,2.62,0.52,19.82,140.83
2020,7,3,6.25,5.63,8.78,2.79,0.55,2.35,0.47,16.88,119.78
2020,7,4,4.86,4.45,8.73,2.24,0.42,1.76,0.34,13.12,93.43
2020,7,5,6.65,6.54,8.83,2.52,0.58,2.55,0.5,17.74,126.09
2020,7,6,6.67,6.63,8.96,2.58,0.59,2.58,0.51,17.8,125.48
2020,7,7,6.78,6.76,8.96,2.76,0.59,2.61,0.52,18.18,128.4
2020,7,8,8.46,10.15,9.16,1.71,0.74,3.21,0.62,21.54,154.4
2020,7,9,8.22,9.57,9.11,2.08,0.72,3.03,0.59,21.02,150.29
2020,7,10,8.76,10.48,9.11,1.47,0.77,3.28,0.63,22.24,159.98
2020,7,11,8.47,10.2,8.99,1.32,0.74,3.16,0.61,21.61,155.54
2020,7,12,5.99,5.47,8.78,2.86,0.53,2.22,0.44,16.13,114.24
2020,7,13,6.28,4.31,8.64,3.08,0.55,2.57,0.5,17.02,119.15
2020,7,14,4.98,2.8,8.53,3.01,0.44,1.98,0.39,13.66,95.71
2020,7,15,5.99,5.32,8.64,2.62,0.53,2.32,0.46,16.01,113.34
2020,7,16,4.87,3.28,8.46,2.72,0.43,1.91,0.38,13.32,93.7
2020,7,17,6.09,5.21,8.48,2.51,0.54,2.47,0.48,16.5,116.65
2020,7,18,6.07,5.16,8.53,2.69,0.54,2.32,0.46,16.09,114.18
2020,7,19,5.02,3.13,8.37,3.08,0.45,1.91,0.38,13.73,96.86
2020,7,20,7.86,8.87,8.73,2.01,0.7,2.95,0.58,20.39,146.23
2020,7,21,6.3,6.57,8.56,2.13,0.57,2.32,0.46,16.8,119.43
2020,7,22,4.98,2.17,8.46,3.4,0.45,1.94,0.38,13.84,95.64
2020,7,23,6.17,5.08,8.32,2.72,0.55,2.3,0.45,16.49,117.12
2020,7,24,5.02,2.77,8.35,3.12,0.45,2.07,0.41,14.34,98.23
2020,7,25,3.71,2,8.28,2.39,0.34,1.65,0.33,11,74.12
2020,7,26,4.41,2.81,8.24,2.63,0.4,1.8,0.35,12.5,86.62
2020,7,27,6.49,5.21,8.44,2.93,0.59,2.59,0.51,17.38,122.09
2020,7,28,4.86,2.76,8.37,3.02,0.45,2.02,0.4,13.8,94.09
2020,7,29,7.5,8.72,8.49,1.92,0.69,2.76,0.54,19.36,139.21
2020,7,30,7.17,7.38,8.41,2.23,0.66,2.62,0.52,18.73,133.55
2020,7,31,7.27,8.39,8.43,1.85,0.67,2.61,0.51,18.85,135.4
2020,8,1,6.79,7.21,8.35,2.2,0.63,2.41,0.48,17.59,125.99
2020,8,2,6.36,5.82,8.16,2.76,0.59,2.26,0.45,16.8,119.88
2020,8,3,6.26,6.62,8.11,2.17,0.59,2.19,0.44,16.41,117.96
2020,8,4,6.37,5.58,8.09,2.72,0.6,2.2,0.44,16.52,118.81
2020,8,5,6.19,5.2,7.82,2.82,0.59,2.08,0.41,15.85,115.55
2020,8,6,5.65,4.69,7.91,2.78,0.54,1.97,0.39,14.92,106.85
2020,8,7,7.77,10.19,8.32,1.3,0.74,2.79,0.55,19.9,143.23
2020,8,8,6.97,7.6,8.2,2.15,0.66,2.5,0.49,17.87,128.1
